Activity name,Activity status,Error,Activity type,Run start,Duration,Integration runtime,User properties,Activity run ID,Log
success notification,Succeeded,,WebActivity,"3/20/2026, 11:55:09 PM",4s,AutoResolveIntegrationRuntime (Central India),{},5e874e52-dcd3-4223-ba5f-cafa7ff835c7,
Delete after copying,Succeeded,,Delete,"3/20/2026, 11:55:02 PM",4s,AutoResolveIntegrationRuntime (Central India),{},94727138-c5d3-4cf9-8f76-d69c86e53ab0,
Copy to archived,Succeeded,,Copy,"3/20/2026, 11:54:48 PM",13s,AutoResolveIntegrationRuntime (Central India),{},e2a67ecf-7aec-426b-ad9c-384a41187bef,
Copy Each File to SQL,Succeeded,,Copy,"3/20/2026, 11:54:21 PM",18s,AutoResolveIntegrationRuntime (Central India),{},1d6ca948-26ba-4838-8c0b-04cf345bb2c5,
Delete after copying,Succeeded,,Delete,"3/20/2026, 11:54:17 PM",3s,AutoResolveIntegrationRuntime (Central India),{},f94bf3cf-b114-4cdd-a37c-92978fc8fd00,
Copy to archived,Succeeded,,Copy,"3/20/2026, 11:54:02 PM",14s,AutoResolveIntegrationRuntime (Central India),{},20ffe4e5-f84f-4af5-95d8-eb01f99e818a,
Copy Each File to SQL,Succeeded,,Copy,"3/20/2026, 11:53:40 PM",21s,AutoResolveIntegrationRuntime (Central India),{},17b300f5-37de-4b4d-8c8e-9747395bd7fa,
Delete after copying,Succeeded,,Delete,"3/20/2026, 11:53:35 PM",4s,AutoResolveIntegrationRuntime (Central India),{},41e2c068-5789-4582-a2ef-eba327141c90,
Copy to archived,Succeeded,,Copy,"3/20/2026, 11:53:22 PM",13s,AutoResolveIntegrationRuntime (Central India),{},d815deac-471c-4a75-99e8-b401b87d7672,
Copy Each File to SQL,Succeeded,,Copy,"3/20/2026, 11:53:05 PM",14s,AutoResolveIntegrationRuntime (Central India),{},04acf672-ee14-46c1-a783-3d514f3ff766,
Delete after copying,Succeeded,,Delete,"3/20/2026, 11:53:01 PM",3s,AutoResolveIntegrationRuntime (Central India),{},14942869-5cbb-48bf-97c3-71a908bd3d67,
Copy to archived,Succeeded,,Copy,"3/20/2026, 11:52:47 PM",13s,AutoResolveIntegrationRuntime (Central India),{},3eb3df36-2ff4-440f-acb6-376e016a468a,
Copy Each File to SQL,Succeeded,,Copy,"3/20/2026, 11:52:33 PM",13s,AutoResolveIntegrationRuntime (Central India),{},3904f614-16a7-4fa6-9bc8-b69ad976a024,
Delete after copying,Succeeded,,Delete,"3/20/2026, 11:52:28 PM",4s,AutoResolveIntegrationRuntime (Central India),{},7a0e11c1-e53a-4575-8fba-eac7f3a13a81,
Copy to archived,Succeeded,,Copy,"3/20/2026, 11:52:14 PM",14s,AutoResolveIntegrationRuntime (Central India),{},3c5ae02c-6cfb-42af-a06e-5aeb7eb74877,
Copy Each File to SQL,Succeeded,,Copy,"3/20/2026, 11:51:58 PM",15s,AutoResolveIntegrationRuntime (Central India),{},92d9d2be-0b69-4118-9bf9-73c448079a44,
Delete after copying,Succeeded,,Delete,"3/20/2026, 11:51:52 PM",5s,AutoResolveIntegrationRuntime (Central India),{},c9786bef-f4ed-4ba2-ad19-fd4e15cea9d0,
Copy to archived,Succeeded,,Copy,"3/20/2026, 11:51:37 PM",14s,AutoResolveIntegrationRuntime (Central India),{},07cbb761-0661-4f54-9402-c7e0c8434b85,
Copy Each File to SQL,Succeeded,,Copy,"3/20/2026, 11:51:22 PM",14s,AutoResolveIntegrationRuntime (Central India),{},2c7b5997-f04b-4ec6-843c-c0fc279fd831,
Delete after copying,Succeeded,,Delete,"3/20/2026, 11:51:17 PM",3s,AutoResolveIntegrationRuntime (Central India),{},6bc66b27-e11c-4d28-bd1c-43e2865693e0,
Copy to archived,Succeeded,,Copy,"3/20/2026, 11:51:02 PM",14s,AutoResolveIntegrationRuntime (Central India),{},bd8c25fb-d6d4-47ec-ad1b-cc0ac2b23db5,
Copy Each File to SQL,Succeeded,,Copy,"3/20/2026, 11:50:48 PM",14s,AutoResolveIntegrationRuntime (Central India),{},df1d2017-3d49-4365-9fa1-c659b22e783f,
Delete after copying,Succeeded,,Delete,"3/20/2026, 11:50:44 PM",3s,AutoResolveIntegrationRuntime (Central India),{},77cb1366-daee-4fd3-9a19-26f396f728e0,
Copy to archived,Succeeded,,Copy,"3/20/2026, 11:50:30 PM",13s,AutoResolveIntegrationRuntime (Central India),{},794739e6-3675-4351-acc3-fc46da8a6563,
Copy Each File to SQL,Succeeded,,Copy,"3/20/2026, 11:50:13 PM",17s,AutoResolveIntegrationRuntime (Central India),{},7c9f12df-e00a-4978-a53a-cad0939d43fa,
Delete after copying,Succeeded,,Delete,"3/20/2026, 11:50:08 PM",4s,AutoResolveIntegrationRuntime (Central India),{},37838e06-875f-40b6-8bae-91a33978399b,
Copy to archived,Succeeded,,Copy,"3/20/2026, 11:49:54 PM",13s,AutoResolveIntegrationRuntime (Central India),{},fc345204-dc99-45cb-923b-0e0a2ba047e3,
Copy Each File to SQL,Succeeded,,Copy,"3/20/2026, 11:49:39 PM",15s,AutoResolveIntegrationRuntime (Central India),{},5c320755-9059-499e-ad13-99b8ce2f7453,
Iterate through files,Succeeded,,ForEach,"3/20/2026, 11:49:38 PM",5m 31s,,{},c24425a3-9ff0-4527-98fb-3cce753c1fb3,
Get Files Names,Succeeded,,GetMetadata,"3/20/2026, 11:49:35 PM",3s,AutoResolveIntegrationRuntime (Central India),{},e8ab7e05-554b-4b20-b16a-c899e9cdb301,
